Date,Text
2020-04-07 23:59:59+00:00,Coronavirus (COVID-19) at a glance 
2020-04-07 23:59:55+00:00,"Sadly, this is not surprising in the least. #coronavirus #COVID19US #CoronavirusOutbreak #Covid19 #Covid2019 #Covid19usa #COVID_19 #CoronavirusPandemic #CoronavirusUSA #SocialDistancing #StayAtHome #StayHomeSaveLives #StayHome #CCPVirus"
2020-04-07 23:59:47+00:00,"We need more clarity on the corona virus cases in Nigeria, not just any made to believe statement or even audio recovery and dead. #covid 19 #corona virus #CoronaVirusInNigeria"
2020-04-07 23:59:45+00:00,"Some of the hours and levels of our @BernCounty services have changed. Please visit our coronavirus (COVID-19) page for the latest news, updates and cancellations regarding the virus at https://bernco.gov/coronavirus, and stay well. /4"
2020-04-07 23:59:44+00:00,".@PUCTX issued orders providing relief and consumer protections to water, sewer, and electric utility customers in Texas and establishing a COVID-19 Electricity Relief Program. | @Jackson_Walker #COVID-19 #Coronavirus "
2020-04-07 23:59:43+00:00,Senior executives and the board of hearing technology group Cochlear will take a pay cut for an initial three months in response to a revenue hit from the Covid-19 coronavirus pandemic. https://www.aumanufacturing.com.au/cochlear-board-executives-take-covid-19-pay-cut #covid19 #medtech
2020-04-07 23:59:35+00:00,"“Thus, hypertension may be a primary risk factor and driver of the severe symptoms of COVID-19. The ACE2 Receptor is used by the coronavirus (SARS-CoV-2) to enter cells. A protease, TMPRSS2, is also required to prime the virus for cellular entry.” "
2020-04-07 23:59:18+00:00,Watch the Pope walk around an empty Rome praying for an end to the COVID-19 pandemic #CORONAVIRUS 02 #VoteBlueNoMatterWho
2020-04-07 23:58:56+00:00,#QAnon #8kun #Brexit #WWG1WGA #COVID #Coronavirus #Covid_19 #HydroxychloroquineAndAzithromycin Wow. Watch this Dem State Lawmaker who had #COVID19 and was in a very bad way credit President Trump and #Hydroxychloroquine for saving her life. It worked in HOURS!
2020-04-07 23:58:49+00:00,"In this video, he shows you actual picures of what they are claiming is coronavirus/covid-19 - https://www.youtube.com/watch?v=UbFdnRYY89I"
2020-04-07 23:58:34+00:00,The man wot got banned from yootyoob on 7/4/2020! David Icke: The Coronavirus Conspiracy: How COVID-19 Will Seize Your Rights &amp; Destroy Our Economy. 
2020-04-07 23:58:29+00:00,"Not a meme. Real tweet from Yours Truly. He has moved from it's a ""new hoax by the Democrats"" to blaming the WHO for the unfolding tragedy in the US. Dumbnut. #trump #trump2020 #trump2020 #coronavirus #covid_19… https://www.instagram.com/p/B-su01HJIiP/?igshid=uqy1kt90lfm9"
2020-04-07 23:58:26+00:00,CORONAVIRUS MALFUNCTION: Did PM make a mistake in not taking COVID-19 seriously? https://torontosun.com/news/national/coronavirus-malfunction-did-pm-make-a-mistake-in-not-taking-covid-19-seriously/ Yes #TrudeauWorstPM !
2020-04-07 23:58:25+00:00,"CORONAVIRUS A mobile clinic caters to residents in the holy city of Mecca, Saudi Arabia, Tuesday. The country has reported 2,795 COVID-19 cases and 41 deaths. (AFP) Saudi Arabia Says It Could Reach 200,000 Coronavirus Infections https://www.voanews.com/science-health/coronavirus-outbreak/saudi-arabia-says-it-could-reach-200000-coronavirus-infections"
2020-04-07 23:58:21+00:00,"Italy has terrible losses during flu season due to 20% of the population being elderly and ill. The excerpt from a scientific paper below shows a season where the loss of life for the country was 375,000, an excess of 50,000! Makes the #coronavirus pale in comparison! #Covid_19 "
2020-04-07 23:58:11+00:00,Help Cuba fight the coronavirus and the US blockade. Sign the open letter calling on the US government to lift its inhuman blockade and allow Cuba to fight COVID-19 at home and abroad. Sign your name here https://cuba-solidarity.org.uk/end-the-blockade/ #CubaVScoronavirUS blockade
2020-04-07 23:58:04+00:00,"City Manager for @CityofMonterey now lists for city council the things the city has done in its planned comprehensive strategy to serve residents &amp; businesses during the coronavirus COVID-19 crisis &amp; for recovery, including the ""COVID-19 Business Action &amp; Economic Recovery Team."" "
2020-04-07 23:58:02+00:00,Coronavirus: Calls for Govt to report number of health workers who contract Covid-19 
2020-04-07 23:58:01+00:00,"Kyoto Imperial Palace, opened till 7th April, from Wed 8th April 2020, is closed for the time being till the current novel coronavirus (COVID-19) situation is settled. #KyotoImperialPalace #Kyoto #KyotoGyoen #KyotoGyoenNationalPark"
2020-04-07 23:57:55+00:00,Care package on its way to a dear one who has COVID-19 symptoms as of yesterday. #saferathome #coronavirus #covid19
2020-04-07 23:57:55+00:00,#Discrimination in any form is never acceptable Coronavirus Disease 2019 (COVID-19) https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/share-facts.html via @CDCgov
2020-04-07 23:57:51+00:00,#Scientists find out how long #coronavirus #COVID-19 lives on face #masks
2020-04-07 23:57:50+00:00,Coronavirus in the US: Sen. Ed Markey tells Jane Fonda ‘mighty battle’ ahead over clean energy in fourth COVID-19 relief package 
2020-04-07 23:57:44+00:00,"I don’t like Fauci either, but the statement is consistent with the results of the first autopsies that came out from China. And also it was consistent with what Dr. Francis Boyle said that the COVID-19 virus was a chimera , Corona virus , SARS , and genetically modified HIV."
2020-04-07 23:57:39+00:00,Coronavirus Disease 2019 (COVID-19) - Transmission https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/how-covid-spreads.html via @CDCgov
