Date,Username,Name,Location,Followers,Text
2020-04-19 23:59:59,@HealthcareHwy,HealthcareHighways,"Frisco, TX",90,#Pharmacies instituting anti-hoarding measures for possible #coronavirus treatments: https://t.co/9XYHWo0z2V | @Benefits_PRO
2020-04-19 23:59:59,@npquarterly,Nonprofit Quarterly,"Boston, MA",128471,"""One of our biggest weaknesses as a sector is that we just keep responding to the symptoms instead of figuring out how to change the systems."" - @NonprofitAF https://t.co/1SCkiWkDGN"
2020-04-19 23:59:59,@BetoAngelMommas,#BidenBetoAngelMomma,"Idaho, USA",1123,We need #JoeBiden to stem the economic bleeding &amp; turn the tide on #coronavirus   #JOEMENTUM  #Biden2020  #BernieEndorsedBiden  #EnoughIsEnough  #UnitedAsOne  #UnitedForBiden https://t.co/GtTmNooAhA https://t.co/TCbu0WVNFz
2020-04-19 23:59:59,@SIGlasvegas,SIG Las Vegas,Las Vegas,1799,@djmodickey @GulfstreamPark Thank you for following. In a normal year we would normally be covering @keenelandracing this time of year but due to the #coronavirus cancellation of their Spring Meet we stayed at #GulfstreamPark due to limited racing. Hopefully #BelmontPark and #Saratoga this summer.
2020-04-19 23:59:58,@Grandma_Boom,🇺🇸🏳️‍🌈💙💥🌊 Grandma Boom 🌊💥💙🏳️‍🌈🇺🇸,United States,4169,"@TrumpSugar @calijeff1 @PersevereEver @NotTheHun1 @DigiVorr @adamwinge @tomag49 @DancesFacts @RightinCA @BIueEyesReSist @hurbydurby @ziggystardad @wagygirl @BobBcomedy @Karldegrosse111 @jupiterose123 @zaharias19 @PoliticsPot @Jeanetteisback @GOPkleptocrat @BSHerrle @EJ_LiveWithLove @PwrCane1 @snarkysnowqueen @LisaNicholo @GoofyGary7 @PogueMoran @CunningMarshal @miss_simone247 @camp_terrence @medwoman1 @SBDSoultrain @Darrell29487115 @scot1222 @0Talkhard2 @ReadYouForFree @BobC7000 @VeronicaLake191 @ImpeachDJTrump_ @susan_block @Betsy_Manning @Darrell15123113 @MrCharl79533255 @Mike91813936 @Eric4life4 @encantoman @danfoc77 @donnnie @gorillastyle @misshellca I gotta warn you, for your safety: don't take a job as a mortician's beautician for the dearly departed just yet... it has not been clinically proven whether dead bodies can still transmit COVID-19  after death.   Take care, stay aware, prepare for more death."
2020-04-19 23:59:58,@MollyD43,Molly,,626,"“In 7 weeks, COVID-19 has killed 37,000 people in the U.S.” It is so aggravating that these people are disregarding the weight that this virus holds.. People like this are the reason why this is going on for so long. They are idiots. https://t.co/ReB1ASCFo7"
2020-04-19 23:59:58,@akavinnie7,Vinnie,"Dallas, TX",9,Covid-19 when the economy opens back up too soon #covid19 #coronavirus #sundayvibes #stayhome https://t.co/yrys77yuhR
2020-04-19 23:59:57,@Phil_Blackmon,Phillip Blackmon,"Jeffersonton, VA",18490,I’ve learned far more about Covid-19 and an appropriate repsonse to it from former Obama official @ASlavitt than anyone in the current administration. He is a must follow. https://t.co/wUJ00p8qU5
2020-04-19 23:59:57,@iLevelSports,iLevelSportsNetwork,"Silicon Valley, CA",479,“Racism is a diabolical thing” 🤐It’s a good thing America is friendly toward Europeans because it’s how the virus got to #NewYork https://t.co/cI5kG4AMiP
2020-04-19 23:59:55,@theamwu,The AMWU,Australia,12713,We now return to our regular programming.  https://t.co/dZLuMq4dSq
2020-04-19 23:59:55,@brettaronow,Brett Aronow,,1430,@morningmika @Delavegalaw Thank you @morningmika I agree. Do you think top brass at @MSNBC think riling up their viewers even more is helping us stay healthy during #coronavirus? Every last viewer will not be voting for #DonaldTrump.
2020-04-19 23:59:54,@RealNateDimoff,Nathan Dimoff ‏🏴,"Florida, USA",432,"After receiving numerous threats of receiving Covid-19 infections, from Midstate Correctional Facility guards, Ramsey Orta has fallen ill.  Orta has been the victim of ongoing harassment from NYPD since he recorded the death of Eric Garner in 2014. https://t.co/E1p00OLMVz"
2020-04-19 23:59:54,@_JEWEL_C,🇺🇸 JEWEL 🇺🇸,Anywhere I want,15208,"@LeAndrew_J @crankylady1130 @KamalaHarris People are dying everyday, year round. But if you mean covid=19 no not really very many.   Nursing homes, old folks and immune compromied people sure but thats about it. There really aren't many deaths.  We need voting booths and ID. This stay at home is over soon"
